pmid,title,abstract,group,endpoint,timepoint,value,treatment,group_raw
31823848,[Circulating prostate cells and bone marrow micro-metastasis and not treatment modality determine the risk and time to biochemical failure in low risk prostate cancer.].,"INTRODUCTION: Minimal residual disease (MRD) is that which persists after curative treatment for prostate cancer. It has the potential to grow and cause metastasis. The detection of circulating prostate cells (CPCs) and bone marrow micro-metastasis could represent different sub-types of MRD. OBJECTIVE: To determine biochemical failure free survival and time to failure, the presence of circulating prostate cells and bone marrow micro-metastasis in men treated for low risk prostate cancer. HYPOTHESIS: The presence of MRD and not the treatment modality determines the results of therapy. METHODS: Blood and bone marrow samples were taken one month after completing treatment to detect CPCs and micro-metastasis. Patients were classified into three groups; A: CPC negative, micro-metastasis negative, B: CPC negative, micro-metastasis positive and C: CPC positive. Biochemical failure was defined as a PSA >0.2ng/ml after radical prostatectomy and >2.0ng/ml post nadir after radiotherapy. After 10 years of follow up the Kaplan-Meier survival curve was determined and using a flexible adjusted parametric model the mean restricted survival time (MRST) was calculated for all groups. RESULTS: 343 men participated, 183 post surgery and 160 post radiotherapy, 181 (53%) had clinical stage T1 and 162 (47%) clinical stage T2a. There were no differences in treatment results between prostatectomy and radiotherapy. T1 patients had a significantly lower frequency of MRD than T2 patients (20% versus 67% p<0.001). Patients negative for MRD (Group A) had a 97% 10-year survival rate and a MRST to failure of 9.9 years. Men with only micro-metastasis (Group B) had a survival rate similar to Group A during the first five years, afterwards there was increasing treatment failure (late failure). Men positive for CPCs had a high risk of early failure. CONCLUSIONS: The treatment results of surgery and radiotherapy are similar and depend on the sub-type of MRD. Men negative for MRD could be considered cured with a biochemical failure free survival of >95% at 10 years. The sub-type of MRD determines early or late failure and could be useful in the risk classification of patients after curative treatment. INTRODUCCIÓN: En cáncer de próstata de bajo riesgo (CPBR) tratado localmente, la recidiva bioquímica (RB) muestra frecuencias de 9 a 20% considerando su explicación la presencia de enfermedad mínima residual (EMR).OBJETIVO: Establecer pronóstico de supervivencia para RB de formas de EMR detectadas al mes de tratamiento por CPBR.MATERIAL Y MÉTODO: Se invita a participar a hombres con CPBR con indicación de prostatectomía radical o radioterapia, realizando al mes de efectuado el tratamiento la determinación sanguínea de células prostáticas circulantes secundarias (CPCs) y presencia de micrometastasis ósea en biopsia de cadera; así los sujetos fueron clasificados en tres formas de EMR cuales son: 1.-ausencia EMR (CPCs negativo y mM negativo); 2.-micrometástasis ósea presente (incluye CPCs negativo) y 3.-CPCs positivo. Se realiza una vigilancia periódica con antígeno prostático específico consignado los tiempos para RB. Se realiza un análisis de supervivencia de Kaplan-Meier; así como también una regresión flexible paramétrica (FP) valorando predictores tales como edad, tratamiento, etapa T y forma EMR. En ambos análisis de sobrevida para la RB se determina la proporción de supervivencia (PS) así como el tiempo medio de ocurrencia o media restringida (MR).RESULTADOS: Un total de 343 sujetos participaron en estudio con un tiempo máximo de seguimiento de 10 años, 183 post prostatectomia y 160 post-readioterapia. El modelo FP seleccionado con adecuado ajuste, calibración y discriminación; considera sólo como predictores de RB la etapa T y las formas EMR; siendo sus resultados concordantes con análisis de Kaplan-Meier. De este modo la PS para grupo sin EMR es de 96,40 a 93,61% con MR de 9,94 a 9,88 años; grupo micrometástasis ósea presente PS es de 69,60 a 52,07% con MR de 8,42 a 9,02 años; grupo CPCs positivo: PS es de 21,05 a 6,05% y MR de 5,71 a 4,28 años.CONCLUSIÓN: La EMR predice la RB en sujetos con CP de bajo riesgo, no hubo diferencias entre los grupos tratandos con cirugía o radioterapia.",low,biochemical recurrence-free survival,10-year,97%,other,low-risk
31604131,A Multicenter Phase 2 study of Hypofractionated Stereostatic Boost in Intermediate Risk Prostate Carcinoma: A 5-Year Analysis of the CKNO-PRO Trial.,"PURPOSE: The aim of this analysis was to assess the 5-year tolerance and survival in patients undergoing hypofractionated stereotactic boost after external beam radiation therapy (EBRT) for intermediate-risk prostate cancer. METHODS AND MATERIALS: Between August 2010 and April 2013, 76 patients with intermediate-risk prostate carcinoma were included in the study. A first course delivered 46 Gy using conventional fractionation. The second course delivered a boost of 18 Gy (3 × 6 Gy) within 10 days using stereotactic body radiation therapy (SBRT). Gastrointestinal and genitourinary toxicities were assessed according to the National Cancer Institute's Common Terminology Criteria for Adverse Events v4.0. Secondary outcome measures were overall, biochemical relapse-free, and relapse-free survival; prostate-specific antigen kinetics; and patient functional status (urinary and sexual) according to the International Index of Erectile Function and International Prostate Symptom Score questionnaires. RESULTS: Sixty patients (79%) were treated by CyberKnife and 16 (21%) by linear accelerator. Median follow-up was 62 months (range, 29-69). The cumulative incidence of genitourinary and gastrointestinal grade ≥2 toxicities at month 60 after the end of radiation therapy was 1.4% (95% confidence interval [CI], 0.1%-6.6%) and 9.3% (95% CI, 4.1%-17.1%), respectively. Biochemical relapse-free and relapse-free survival rates at 5 years were 87.4% (95% CI, 77.1%-93.2%) and 86.2% (95% CI, 75.8-92.3), respectively. The mean (standard deviation) prostate-specific antigen variation within 3 months and 5 years post-radiation therapy was -1.20 ng/mL/mo (0.79) and -1.30 ng/mL/y (1.05), respectively. There was no significant difference between the International Prostate Symptom quality of life score between inclusion and month 60. For the International Index of Erectile Function, there was a significant difference between inclusion and month 60 (P = .005), with a higher proportion of severe/noninterpretable disorders at 60 months. CONCLUSIONS: The results of the trial demonstrate that the EBRT and SBRT combination is well tolerated and yields good efficacy results. These data provide a good basis for comparing EBRT and brachytherapy boost to EBRT and SBRT boost in future prospective studies.",intermediate,relapse-free survival,5-year,86.20%,Radiotherapy,intermediate-risk
31604131,A Multicenter Phase 2 study of Hypofractionated Stereostatic Boost in Intermediate Risk Prostate Carcinoma: A 5-Year Analysis of the CKNO-PRO Trial.,"PURPOSE: The aim of this analysis was to assess the 5-year tolerance and survival in patients undergoing hypofractionated stereotactic boost after external beam radiation therapy (EBRT) for intermediate-risk prostate cancer. METHODS AND MATERIALS: Between August 2010 and April 2013, 76 patients with intermediate-risk prostate carcinoma were included in the study. A first course delivered 46 Gy using conventional fractionation. The second course delivered a boost of 18 Gy (3 × 6 Gy) within 10 days using stereotactic body radiation therapy (SBRT). Gastrointestinal and genitourinary toxicities were assessed according to the National Cancer Institute's Common Terminology Criteria for Adverse Events v4.0. Secondary outcome measures were overall, biochemical relapse-free, and relapse-free survival; prostate-specific antigen kinetics; and patient functional status (urinary and sexual) according to the International Index of Erectile Function and International Prostate Symptom Score questionnaires. RESULTS: Sixty patients (79%) were treated by CyberKnife and 16 (21%) by linear accelerator. Median follow-up was 62 months (range, 29-69). The cumulative incidence of genitourinary and gastrointestinal grade ≥2 toxicities at month 60 after the end of radiation therapy was 1.4% (95% confidence interval [CI], 0.1%-6.6%) and 9.3% (95% CI, 4.1%-17.1%), respectively. Biochemical relapse-free and relapse-free survival rates at 5 years were 87.4% (95% CI, 77.1%-93.2%) and 86.2% (95% CI, 75.8-92.3), respectively. The mean (standard deviation) prostate-specific antigen variation within 3 months and 5 years post-radiation therapy was -1.20 ng/mL/mo (0.79) and -1.30 ng/mL/y (1.05), respectively. There was no significant difference between the International Prostate Symptom quality of life score between inclusion and month 60. For the International Index of Erectile Function, there was a significant difference between inclusion and month 60 (P = .005), with a higher proportion of severe/noninterpretable disorders at 60 months. CONCLUSIONS: The results of the trial demonstrate that the EBRT and SBRT combination is well tolerated and yields good efficacy results. These data provide a good basis for comparing EBRT and brachytherapy boost to EBRT and SBRT boost in future prospective studies.",intermediate,biochemical relapse-free survival,5-year,87.40%,Radiotherapy,intermediate-risk
31097389,Accuracy of CAPRA-S Score for Predicting Long-Term Biochemical Progression After Radical Prostatectomy.,"BACKGROUND: The Cancer of the Prostate Risk Assessment Postsurgical (CAPRA-S) score is a tool to stratify patients into groups according to their risk for biochemical recurrence after radical prostatectomy. The aim of this study was to assess the accuracy of the CAPRA-S score for predicting biochemical progression at 5 and 10 years in our cohort of patients after radical prostatectomy. PATIENTS AND METHODS: Between June 2004 and December 2015, radical prostatectomy was performed as the main treatment option for patients with localized prostate cancer. Patients who had received adjuvant or neoadjuvant treatment were excluded from this study. Biochemical progression after radical prostatectomy was considered in patients by prostate-specific antigen (PSA) > 0.1 ng/mL after surgery (biochemical persistence) and by at least 2 determinations of PSA > 0.2 ng/mL in those patients with initial undetectable postoperative PSA any time during their follow-up (biochemical failure). Cox proportional hazard model and Kaplan-Meier analysis were used for the statistical analysis. RESULTS: Of 531 patients who underwent radical prostatectomy, 479 met the inclusion criteria. Mean follow-up was 85 months (min-max, 13-153 months). The rate of biochemical progression-free survival at 10 years was 84.2%, 55.1%, and 32.8%, respectively, for high-, intermediate-, and low-risk patients according to the CAPRA-S score. The concordance index for CAPRA-S predicting biochemical progression at 5 years was 0.71 and at 10 years was 0.70. CONCLUSION: The CAPRA-S score is a useful and easy-to-use tool in patients after radical prostatectomy to classify their risk for biochemical progression, thus helping decide if adjuvant treatment should be required.",low,biochemical progression-free survival,10-year,32.80%,Radical Prostatectomy,low-risk
31097389,Accuracy of CAPRA-S Score for Predicting Long-Term Biochemical Progression After Radical Prostatectomy.,"BACKGROUND: The Cancer of the Prostate Risk Assessment Postsurgical (CAPRA-S) score is a tool to stratify patients into groups according to their risk for biochemical recurrence after radical prostatectomy. The aim of this study was to assess the accuracy of the CAPRA-S score for predicting biochemical progression at 5 and 10 years in our cohort of patients after radical prostatectomy. PATIENTS AND METHODS: Between June 2004 and December 2015, radical prostatectomy was performed as the main treatment option for patients with localized prostate cancer. Patients who had received adjuvant or neoadjuvant treatment were excluded from this study. Biochemical progression after radical prostatectomy was considered in patients by prostate-specific antigen (PSA) > 0.1 ng/mL after surgery (biochemical persistence) and by at least 2 determinations of PSA > 0.2 ng/mL in those patients with initial undetectable postoperative PSA any time during their follow-up (biochemical failure). Cox proportional hazard model and Kaplan-Meier analysis were used for the statistical analysis. RESULTS: Of 531 patients who underwent radical prostatectomy, 479 met the inclusion criteria. Mean follow-up was 85 months (min-max, 13-153 months). The rate of biochemical progression-free survival at 10 years was 84.2%, 55.1%, and 32.8%, respectively, for high-, intermediate-, and low-risk patients according to the CAPRA-S score. The concordance index for CAPRA-S predicting biochemical progression at 5 years was 0.71 and at 10 years was 0.70. CONCLUSION: The CAPRA-S score is a useful and easy-to-use tool in patients after radical prostatectomy to classify their risk for biochemical progression, thus helping decide if adjuvant treatment should be required.",intermediate,biochemical progression-free survival,10-year,55.10%,Radical Prostatectomy,intermediate-risk
31097389,Accuracy of CAPRA-S Score for Predicting Long-Term Biochemical Progression After Radical Prostatectomy.,"BACKGROUND: The Cancer of the Prostate Risk Assessment Postsurgical (CAPRA-S) score is a tool to stratify patients into groups according to their risk for biochemical recurrence after radical prostatectomy. The aim of this study was to assess the accuracy of the CAPRA-S score for predicting biochemical progression at 5 and 10 years in our cohort of patients after radical prostatectomy. PATIENTS AND METHODS: Between June 2004 and December 2015, radical prostatectomy was performed as the main treatment option for patients with localized prostate cancer. Patients who had received adjuvant or neoadjuvant treatment were excluded from this study. Biochemical progression after radical prostatectomy was considered in patients by prostate-specific antigen (PSA) > 0.1 ng/mL after surgery (biochemical persistence) and by at least 2 determinations of PSA > 0.2 ng/mL in those patients with initial undetectable postoperative PSA any time during their follow-up (biochemical failure). Cox proportional hazard model and Kaplan-Meier analysis were used for the statistical analysis. RESULTS: Of 531 patients who underwent radical prostatectomy, 479 met the inclusion criteria. Mean follow-up was 85 months (min-max, 13-153 months). The rate of biochemical progression-free survival at 10 years was 84.2%, 55.1%, and 32.8%, respectively, for high-, intermediate-, and low-risk patients according to the CAPRA-S score. The concordance index for CAPRA-S predicting biochemical progression at 5 years was 0.71 and at 10 years was 0.70. CONCLUSION: The CAPRA-S score is a useful and easy-to-use tool in patients after radical prostatectomy to classify their risk for biochemical progression, thus helping decide if adjuvant treatment should be required.",high,biochemical progression-free survival,10-year,84.20%,Radical Prostatectomy,high-risk
31772776,Achieving PSA < 0.2 ng/ml before Radiation Therapy Is a Strong Predictor of Treatment Success in Patients with High-Risk Locally Advanced Prostate Cancer.,"BACKGROUND: To predict long-term treatment outcome of radiation therapy (RT) plus androgen deprivation therapy (ADT) for high-risk locally advanced prostate cancer. METHODS: In total, 204 patients with the National Comprehensive Cancer Network (NCCN) high risk locally advanced prostate cancer (PSA > 20 ng/ml, Gleason score ≧ 8, clinical T stage ≧ 3a) were treated with definitive RT with ADT. Median follow up period was 113 months (IQR: 95-128). Median neoadjuvant ADT and total ADT duration were 7 months (IQR: 6-10) and 27 months (IQR: 14-38), respectively. RESULTS: PSA recurrence-free survival (PSA-RFS), cancer specific survival (CSS), and overall survival (OS) rates at 5 years were 84.1%, 98.5%, and 93.6%, respectively, and 67.9%, 91.2%, and 78.1%, respectively, at 10 years. Pre-RT PSA less than 0.2 ng/ml was associated with superior outcomes of PSA-RFS (HR = 0.42, 95% CI: 0.25-0.70, p = 0.001), CSS (HR = 0.27, 95% CI: 0.09-0.82, p = 0.013), and OS (HR = 0.48, 95% CI: 0.26-0.91, p = 0.021). On multivariate analysis, age (≥70 y.o.) and pre-RT PSA (≥0.2 ng/ml) were factors predictive of poorer OS (p = 0.032) , but iPSA, T stage, Gleason score, number of NCCN high-risk criteria, a combination with anti-androgen therapy and neoadjuvant ADT duration were not predictive of treatment outcome. CONCLUSION: In patient with high-risk prostate cancer, RT plus ADT achieved good oncologic outcomes. PSA < 0.2 ng/ml before radiation therapy is a strong independent predictor for long overall survival.",high,PSA recurrence-free survival,10-year,67.90%,ADT + Std EBRT,high-risk
31772776,Achieving PSA < 0.2 ng/ml before Radiation Therapy Is a Strong Predictor of Treatment Success in Patients with High-Risk Locally Advanced Prostate Cancer.,"BACKGROUND: To predict long-term treatment outcome of radiation therapy (RT) plus androgen deprivation therapy (ADT) for high-risk locally advanced prostate cancer. METHODS: In total, 204 patients with the National Comprehensive Cancer Network (NCCN) high risk locally advanced prostate cancer (PSA > 20 ng/ml, Gleason score ≧ 8, clinical T stage ≧ 3a) were treated with definitive RT with ADT. Median follow up period was 113 months (IQR: 95-128). Median neoadjuvant ADT and total ADT duration were 7 months (IQR: 6-10) and 27 months (IQR: 14-38), respectively. RESULTS: PSA recurrence-free survival (PSA-RFS), cancer specific survival (CSS), and overall survival (OS) rates at 5 years were 84.1%, 98.5%, and 93.6%, respectively, and 67.9%, 91.2%, and 78.1%, respectively, at 10 years. Pre-RT PSA less than 0.2 ng/ml was associated with superior outcomes of PSA-RFS (HR = 0.42, 95% CI: 0.25-0.70, p = 0.001), CSS (HR = 0.27, 95% CI: 0.09-0.82, p = 0.013), and OS (HR = 0.48, 95% CI: 0.26-0.91, p = 0.021). On multivariate analysis, age (≥70 y.o.) and pre-RT PSA (≥0.2 ng/ml) were factors predictive of poorer OS (p = 0.032) , but iPSA, T stage, Gleason score, number of NCCN high-risk criteria, a combination with anti-androgen therapy and neoadjuvant ADT duration were not predictive of treatment outcome. CONCLUSION: In patient with high-risk prostate cancer, RT plus ADT achieved good oncologic outcomes. PSA < 0.2 ng/ml before radiation therapy is a strong independent predictor for long overall survival.",high,overall survival,10-year,78.10%,ADT + Std EBRT,high-risk
31772776,Achieving PSA < 0.2 ng/ml before Radiation Therapy Is a Strong Predictor of Treatment Success in Patients with High-Risk Locally Advanced Prostate Cancer.,"BACKGROUND: To predict long-term treatment outcome of radiation therapy (RT) plus androgen deprivation therapy (ADT) for high-risk locally advanced prostate cancer. METHODS: In total, 204 patients with the National Comprehensive Cancer Network (NCCN) high risk locally advanced prostate cancer (PSA > 20 ng/ml, Gleason score ≧ 8, clinical T stage ≧ 3a) were treated with definitive RT with ADT. Median follow up period was 113 months (IQR: 95-128). Median neoadjuvant ADT and total ADT duration were 7 months (IQR: 6-10) and 27 months (IQR: 14-38), respectively. RESULTS: PSA recurrence-free survival (PSA-RFS), cancer specific survival (CSS), and overall survival (OS) rates at 5 years were 84.1%, 98.5%, and 93.6%, respectively, and 67.9%, 91.2%, and 78.1%, respectively, at 10 years. Pre-RT PSA less than 0.2 ng/ml was associated with superior outcomes of PSA-RFS (HR = 0.42, 95% CI: 0.25-0.70, p = 0.001), CSS (HR = 0.27, 95% CI: 0.09-0.82, p = 0.013), and OS (HR = 0.48, 95% CI: 0.26-0.91, p = 0.021). On multivariate analysis, age (≥70 y.o.) and pre-RT PSA (≥0.2 ng/ml) were factors predictive of poorer OS (p = 0.032) , but iPSA, T stage, Gleason score, number of NCCN high-risk criteria, a combination with anti-androgen therapy and neoadjuvant ADT duration were not predictive of treatment outcome. CONCLUSION: In patient with high-risk prostate cancer, RT plus ADT achieved good oncologic outcomes. PSA < 0.2 ng/ml before radiation therapy is a strong independent predictor for long overall survival.",high,cancer-specific survival,10-year,91.20%,ADT + Std EBRT,high-risk
31772776,Achieving PSA < 0.2 ng/ml before Radiation Therapy Is a Strong Predictor of Treatment Success in Patients with High-Risk Locally Advanced Prostate Cancer.,"BACKGROUND: To predict long-term treatment outcome of radiation therapy (RT) plus androgen deprivation therapy (ADT) for high-risk locally advanced prostate cancer. METHODS: In total, 204 patients with the National Comprehensive Cancer Network (NCCN) high risk locally advanced prostate cancer (PSA > 20 ng/ml, Gleason score ≧ 8, clinical T stage ≧ 3a) were treated with definitive RT with ADT. Median follow up period was 113 months (IQR: 95-128). Median neoadjuvant ADT and total ADT duration were 7 months (IQR: 6-10) and 27 months (IQR: 14-38), respectively. RESULTS: PSA recurrence-free survival (PSA-RFS), cancer specific survival (CSS), and overall survival (OS) rates at 5 years were 84.1%, 98.5%, and 93.6%, respectively, and 67.9%, 91.2%, and 78.1%, respectively, at 10 years. Pre-RT PSA less than 0.2 ng/ml was associated with superior outcomes of PSA-RFS (HR = 0.42, 95% CI: 0.25-0.70, p = 0.001), CSS (HR = 0.27, 95% CI: 0.09-0.82, p = 0.013), and OS (HR = 0.48, 95% CI: 0.26-0.91, p = 0.021). On multivariate analysis, age (≥70 y.o.) and pre-RT PSA (≥0.2 ng/ml) were factors predictive of poorer OS (p = 0.032) , but iPSA, T stage, Gleason score, number of NCCN high-risk criteria, a combination with anti-androgen therapy and neoadjuvant ADT duration were not predictive of treatment outcome. CONCLUSION: In patient with high-risk prostate cancer, RT plus ADT achieved good oncologic outcomes. PSA < 0.2 ng/ml before radiation therapy is a strong independent predictor for long overall survival.",high,PSA recurrence-free survival,5-year,84.10%,ADT + Std EBRT,high-risk
