pmid,title,abstract,group,endpoint,timepoint,value,treatment,group_raw
BRC-0101,Long-term outcomes with adjuvant endocrine therapy in HR-positive early breast cancer,"A multicentre cohort of postmenopausal women with HR-positive, HER2-negative early breast cancer treated with 5 years of adjuvant endocrine therapy. Survival outcomes were assessed at 5 and 10 years of follow-up. (Illustrative placeholder record.)",HR+/HER2-negative,Overall survival,5-year,94.10%,Endocrine Therapy,HR+/HER2-negative
BRC-0101,Long-term outcomes with adjuvant endocrine therapy in HR-positive early breast cancer,"A multicentre cohort of postmenopausal women with HR-positive, HER2-negative early breast cancer treated with 5 years of adjuvant endocrine therapy. Survival outcomes were assessed at 5 and 10 years of follow-up. (Illustrative placeholder record.)",HR+/HER2-negative,Overall survival,10-year,84.30%,Endocrine Therapy,HR+/HER2-negative
BRC-0101,Long-term outcomes with adjuvant endocrine therapy in HR-positive early breast cancer,"A multicentre cohort of postmenopausal women with HR-positive, HER2-negative early breast cancer treated with 5 years of adjuvant endocrine therapy. Survival outcomes were assessed at 5 and 10 years of follow-up. (Illustrative placeholder record.)",HR+/HER2-negative,Invasive disease-free survival,5-year,88.60%,Endocrine Therapy,HR+/HER2-negative
BRC-0101,Long-term outcomes with adjuvant endocrine therapy in HR-positive early breast cancer,"A multicentre cohort of postmenopausal women with HR-positive, HER2-negative early breast cancer treated with 5 years of adjuvant endocrine therapy. Survival outcomes were assessed at 5 and 10 years of follow-up. (Illustrative placeholder record.)",HR+/HER2-negative,Invasive disease-free survival,10-year,76.20%,Endocrine Therapy,HR+/HER2-negative
BRC-0102,Adjuvant CDK4/6 inhibition plus endocrine therapy in node-positive HR-positive disease,"Randomised evaluation of adding a CDK4/6 inhibitor to standard endocrine therapy in high-risk HR-positive, HER2-negative breast cancer. Invasive disease-free and distant recurrence-free survival reported. (Illustrative placeholder record.)",HR+/HER2-negative,Invasive disease-free survival,3-year,90.20%,CDK4/6 Inhibitor + Endocrine,HR+/HER2-negative
BRC-0102,Adjuvant CDK4/6 inhibition plus endocrine therapy in node-positive HR-positive disease,"Randomised evaluation of adding a CDK4/6 inhibitor to standard endocrine therapy in high-risk HR-positive, HER2-negative breast cancer. Invasive disease-free and distant recurrence-free survival reported. (Illustrative placeholder record.)",HR+/HER2-negative,Invasive disease-free survival,5-year,85.70%,CDK4/6 Inhibitor + Endocrine,HR+/HER2-negative
BRC-0102,Adjuvant CDK4/6 inhibition plus endocrine therapy in node-positive HR-positive disease,"Randomised evaluation of adding a CDK4/6 inhibitor to standard endocrine therapy in high-risk HR-positive, HER2-negative breast cancer. Invasive disease-free and distant recurrence-free survival reported. (Illustrative placeholder record.)",HR+/HER2-negative,Distant recurrence-free survival,5-year,88.40%,CDK4/6 Inhibitor + Endocrine,HR+/HER2-negative
BRC-0103,Chemoendocrine therapy in intermediate-risk HR-positive breast cancer: a registry analysis,"Observational analysis of adjuvant chemotherapy followed by endocrine therapy in HR-positive, HER2-negative tumours with intermediate genomic risk. (Illustrative placeholder record.)",HR+/HER2-negative,Overall survival,5-year,91.50%,Adjuvant Chemo + Endocrine,HR+/HER2-negative
BRC-0103,Chemoendocrine therapy in intermediate-risk HR-positive breast cancer: a registry analysis,"Observational analysis of adjuvant chemotherapy followed by endocrine therapy in HR-positive, HER2-negative tumours with intermediate genomic risk. (Illustrative placeholder record.)",HR+/HER2-negative,Invasive disease-free survival,5-year,83.10%,Adjuvant Chemo + Endocrine,HR+/HER2-negative
BRC-0103,Chemoendocrine therapy in intermediate-risk HR-positive breast cancer: a registry analysis,"Observational analysis of adjuvant chemotherapy followed by endocrine therapy in HR-positive, HER2-negative tumours with intermediate genomic risk. (Illustrative placeholder record.)",HR+/HER2-negative,Distant recurrence-free survival,5-year,85.00%,Adjuvant Chemo + Endocrine,HR+/HER2-negative
BRC-0104,Extended adjuvant endocrine therapy to 10 years in HR-positive breast cancer,"Comparison of extended (10-year) versus standard-duration endocrine therapy, with distant recurrence-free and invasive disease-free survival as endpoints. (Illustrative placeholder record.)",HR+/HER2-negative,Distant recurrence-free survival,10-year,88.10%,Extended Endocrine,HR+/HER2-negative
